"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 27, 2015","89.91","89.97","91.51","88.57","1.38M","-0.30%"
"Dec 20, 2015","90.18","88.62","90.65","87.12","2.00M","1.29%"
"Dec 13, 2015","89.03","86.57","91.43","85.77","5.77M","2.87%"
"Dec 06, 2015","86.55","91.70","93.88","85.85","5.00M","-4.80%"
"Nov 29, 2015","90.91","89.52","94.50","89.10","6.84M","1.61%"
"Nov 22, 2015","89.47","88.08","90.50","86.57","3.87M","1.57%"
"Nov 15, 2015","88.09","84.50","88.47","83.54","4.79M","2.73%"
"Nov 08, 2015","85.75","87.24","91.48","85.13","6.58M","-2.57%"
"Nov 01, 2015","88.01","81.00","89.77","79.62","10.50M","7.92%"
"Oct 25, 2015","81.55","81.50","83.49","81.07","5.28M","0.17%"
"Oct 18, 2015","81.41","76.18","82.08","76.08","6.67M","6.21%"
"Oct 11, 2015","76.65","76.50","77.84","74.38","6.46M","0.46%"
"Oct 04, 2015","76.30","73.00","76.47","72.72","5.65M","6.27%"
"Sep 27, 2015","71.80","71.25","73.08","69.91","4.69M","0.59%"
"Sep 20, 2015","71.38","69.94","71.57","67.83","5.64M","1.72%"
"Sep 13, 2015","70.17","65.60","71.43","64.90","8.53M","6.95%"
"Sep 06, 2015","65.61","65.64","67.70","65.13","2.78M","0.66%"
"Aug 30, 2015","65.18","66.67","67.70","64.65","4.17M","-2.70%"
"Aug 23, 2015","66.99","63.69","67.55","62.51","7.63M","2.31%"
"Aug 16, 2015","65.48","69.31","69.60","65.21","5.28M","-4.95%"
"Aug 09, 2015","68.89","73.78","74.26","68.30","4.71M","-6.25%"
"Aug 02, 2015","73.48","74.47","76.41","73.11","4.23M","-1.33%"
